C1,C2,C3,C4,C5,C6,C7,C8
17.72935996344169,-10.784684699847237,-7.757026944926103,-14.73649023197018,18.077248127995666,-6.589941982495839,-4.973765479387257,19.310165866505784
19.628283668189574,-10.461629872868924,-11.026246279998679,-14.683498405349678,20.41473139919251,-12.496200229265435,-8.892455753856538,20.976209015985045
20.04061935820839,-9.21458077134453,-13.427290503661418,-13.865634328062063,21.230896297149936,-17.501110304315965,-12.155164980852362,20.760801157420392
19.081185472966453,-7.179507145637582,-14.771089124358618,-12.326124382638463,20.617389756150658,-21.1885592818337,-14.530762601400546,18.891236657689095
16.904069805359654,-4.6007438021674405,-14.94592288335537,-10.143349261876882,18.708341815924914,-23.25018033205071,-15.836551162754619,15.677222199168204
13.703179630410713,-1.8359668640021982,-14.031321923725473,-7.506284187929199,15.684729639717455,-23.665985900431274,-16.049967263962998,11.471939056972106
9.653359944592587,0.7943036144902137,-12.19367950161466,-4.609065092496237,11.693227399912432,-22.54149649359132,-15.221973707813198,6.6267459249688905
4.876443063696021,3.1196963713191095,-9.56310681618242,-1.5809949092845628,6.832960330895078,-19.92448640274526,-13.378589627930117,1.428553743838674
-0.4816004646342584,5.0417364654881585,-6.331764714077159,1.393981191451435,1.2768009527552517,-15.96668511838859,-10.632446856769457,-3.8927787276151626
-6.1481177679310415,6.433025424086967,-2.884718186418722,3.983087826563746,-4.63099424159414,-11.13133470093107,-7.319100525961048,-9.073665021948589
-11.703848662545907,7.1888262654325334,0.3153607860589256,5.841733516568356,-10.404311139850826,-6.025847836961733,-3.889757554232377,-13.742697607219968
-16.643005253328436,7.316638523861046,2.9448835812939964,6.800405361527773,-15.503808897064609,-1.091913277145664,-0.6991701861886014,-17.461532517195668
-20.428363220825673,6.887596178385526,4.826958461322361,6.85682542442336,-19.378720064778737,3.3825303837611393,2.012554710661899,-19.82166421328816
-22.558275389555433,5.95405503271815,5.815171664917417,6.085342535062928,-21.53950471288783,7.078761470474932,4.022599797947656,-20.510015336758173
-22.70905273035194,4.613859557010288,5.846692962784415,4.673882999494638,-21.73217815517753,9.739347095847467,5.187658665780232,-19.367550538408025
-20.856849825764726,3.103912911176524,5.087437992968645,2.980165057311562,-20.04101490700511,11.4077177716517,5.589505737024543,-16.450777101443794
-17.264890029509456,1.7199605204427084,3.863466036867014,1.3927500627953147,-16.80181491183417,12.345284963788536,5.4733072573746036,-12.047623039514285
-12.3626182667833,0.6449341648745099,2.427145596406998,0.11864612887796762,-12.43352227907108,12.70586430332362,5.025986178100636,-6.600915800013239
-6.645999085783007,-0.07496620614500876,0.8984978471880117,-0.8197702324986802,-7.367775951757679,12.479445025165978,4.318871419504681,-0.6016801017598724
-0.6478288472533378,-0.42052922052607467,-0.5891529923006563,-1.432120736414625,-2.0697268147268684,11.729041891754086,3.4420611789168962,5.441292640021315
5.122092954652335,-0.39190573607205115,-1.8607131864656736,-1.7326125122848974,3.021148106002792,10.627723788993892,2.526313846347703,11.006963034987807
10.259898930872632,-0.09940837478365465,-2.85223765457229,-1.8403995469330547,7.580715087037084,9.219111419184122,1.5951073678706014,15.61915762918109
14.458171622849568,0.26945183357351205,-3.638598664726803,-1.9574576400424712,11.36149804741708,7.379609044460334,0.541844111599259,18.904106150492424
17.43314916159366,0.5972947471037164,-4.249440012328539,-2.208264312028988,14.102711684754816,5.101184569652372,-0.6845629410627377,20.58397737539649
18.926196435959916,0.8664241804580834,-4.5870504702188315,-2.6021691252228636,15.555926959678123,2.611480548050246,-1.9872778035938705,20.442914594086755
18.819716407360325,1.0294882441783573,-4.5880030437439,-3.1627410372863385,15.622302142484099,0.12778025579771168,-3.262917920458975,18.374087401596377
